序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
43,翔港转债,113566,2020/3/31,翔港科技,603499,造纸包装,包装材料,120.94,0.52%,1.45%,18.55,2.37%,28,11.60%,124.5,15.16,4.93,122.36,-1.20%,3月3天,5.73年,3.73年,7.60%,9.30%,2,26,0.52%,-0.20%,-3.68%,-3.90%,79.53,83.48,52.97,136.45,-11.40%,63%,<2%,18%,0.83,A+,7.40%,119.74 ,119.5,36,10.10%,22,翔港转债
4,交科转债,128107,2020/5/22,浙江交科,2061,建筑,建筑工程,108.578,-0.10%,0.33%,5.21,0.39%,30,1.10%,115.3,5.36,0.93,97.2,11.70%,4月24天,5.88年,3.88年,34.90%,33.90%,25,72,1.05%,0.57%,-1.12%,-1.30%,88.03,90.95,22.93,113.87,-4.60%,42%,12%,17%,0.58,AA+,4.20%,120.28 ,120,29,-3.50%,13,交科转债
14,滨化转债,113034,2020/4/30,滨化股份,601678,石油天然,化工,106.76,-0.21%,-0.05%,4.39,-0.45%,13,0.50%,115.1,4.68,1.08,93.8,13.80%,4月12天,5.84年,3.84年,35.40%,33.20%,24,68,1.32%,0.85%,-0.75%,-0.92%,86.3,88.42,22.56,110.98,-3.80%,46%,13%,17%,0.57,AA,4.70%,120.56 ,119.7,31.3,-1.90%,29,滨化转债
35,百达转债,113570,2020/4/8,百达精工,603331,机械装备,机械装备,109.61,-0.74%,0.42%,16.18,-0.43%,3.1,1.00%,115.3,16.39,2.69,98.72,11.00%,3月13天,5.76年,3.76年,13.50%,13.40%,2.8,21,0.90%,0.42%,-1.39%,-1.57%,78.63,77.05,36.36,113.41,-3.40%,38%,14%,17%,0.75,A+,7.40%,120.61 ,120.5,41.9,-0.90%,28,百达转债
132,亚泰转债!,128066,2019/5/14,郑中设计,2811,建筑,装饰工程,113.35,-1.43%,-0.63%,10.16,-3.05%,6.2,1.10%,117.5,9.67,1.22,105.07,7.90%,转股中,4.86年,2.86年,17.50%,18.40%,4.8,27,0.76%,0.12%,-2.88%,-3.12%,88.87,91.78,27.91,119.69,-5.30%,50%,8%,16%,0.68,AA-,5.33%,121.25 ,121.6,29.9,-30.80%,65,亚泰转债!
227,特一转债!,128025,2017/12/28,特一药业,2728,医药,化学制药,109.166,-0.67%,-0.41%,14.31,-1.85%,5.2,1.60%,109.8,14.7,2.52,97.35,12.10%,转股中,3.50年,1.50年,10.30%,10.00%,3,29,0.17%,-0.35%,-3.71%,-3.99%,94.11,91.87,19.17,111.04,-1.70%,30%,15%,17%,0.58,AA-,5.33%,121.27 ,121,26.9,3.00%,43,特一转债!
3,康隆转债,113580,2020/5/20,康隆达,603665,服装纺织,服装行业,113.16,0.62%,-0.65%,25.46,-0.04%,2.2,1.00%,121.2,24.45,2.45,104.13,8.70%,4月25天,5.88年,3.88年,7.90%,8.20%,2,25,1.20%,0.57%,-2.06%,-2.25%,83.39,88.07,32.32,120.39,-6.00%,33%,9%,17%,0.69,AA-,5.70%,121.86 ,122.2,34.1,1.30%,8,康隆转债
129,三星转债,113536,2019/6/24,三星新材,603578,家电,零部件制,116.02,-0.44%,0.10%,21.63,-0.51%,6.7,3.00%,114.8,19.75,3.13,109.52,5.90%,转股中,4.98年,2.98年,9.90%,10.80%,1.9,19,-0.22%,-0.74%,-3.65%,-3.84%,90.48,93.28,30.33,123.62,-6.10%,42%,10%,18%,0.68,AA,4.33%,121.92 ,122.5,29.2,0.70%,42,三星转债
40,君禾转债,113567,2020/4/3,君禾股份,603617,机械装备,通用设备,108.35,-0.69%,0.44%,10.91,-0.37%,6.2,2.70%,119.3,11.46,2.55,95.2,13.80%,3月6天,5.74年,3.74年,9.60%,9.20%,2.1,22,1.73%,1.13%,-0.94%,-1.16%,79.3,79.94,33.32,113.26,-4.30%,57%,14%,18%,0.68,A+,7.40%,122.15 ,121.5,41.6,-8.80%,29,君禾转债
246,海印转债!,127003,2016/7/1,海印股份,861,商业零售,商场,114.51,0.14%,-0.14%,3.2,0.00%,17,1.60%,113.3,3.01,2.03,106.31,7.70%,转股中,2年2.0天,2.0天,13.20%,14.00%,9.4,72,-0.54%,-1.73%,-71.00%,-72.80%,101.09,104.53,13.08,117.62,-2.60%,31%,12%,16%,0.56,AA,4.19%,122.21 ,122.7,18.2,6.70%,87,海印转债!
50,星帅转债,128094,2020/2/19,星帅尔,2860,家电,零部件制,117.08,1.54%,3.11%,15.53,5.86%,66,20.30%,121.5,13.95,2.04,111.33,5.20%,46天,5.61年,3.61年,9.10%,10.10%,2.8,31,0.68%,0.02%,-2.98%,-3.20%,80.13,82.15,43.72,125.87,-7.00%,63%,12%,17%,0.79,A+,7.40%,122.28 ,122.8,40.7,4.40%,33,星帅转债
128,中环转债,123026,2019/7/1,中环环保,300692,城市公用,三废处理,110.1,-1.05%,0.55%,12.08,-0.82%,3.6,1.40%,111.1,12.31,2.2,98.13,12.20%,转股中,4年4.0天,2年4.0天,11.70%,11.40%,2.3,20,0.23%,-0.28%,-2.93%,-3.21%,92.33,90.64,22.92,113.56,-3.00%,64%,15%,18%,0.6,AA-,5.33%,122.30 ,122.1,29.7,-0.10%,34,中环转债
28,雷迪转债,123045,2020/4/13,雷迪克,300652,汽车,零部件制,107.3,-0.19%,-0.27%,19.01,-0.68%,8.7,2.80%,119.4,20.38,2.13,93.28,15.00%,3月14天,5.76年,3.76年,17.30%,16.10%,2.9,17,1.91%,1.31%,-0.66%,-0.88%,79.24,79.88,32.16,112.04,-4.20%,36%,13%,18%,0.67,A+,7.40%,122.30 ,121.3,41.4,0.50%,35,雷迪转债
85,华锋转债!,128082,2020/1/6,华锋股份,2806,电子,元器件制,105.921,-1.03%,0.88%,11.86,-0.25%,2.2,0.60%,122,13.09,1.63,90.6,16.90%,4.0天,5.50年,3.50年,16.90%,15.30%,3.5,21,2.67%,1.96%,-0.22%,-0.49%,81.24,83.28,27.82,111.1,-4.70%,67%,14%,18%,0.61,A+,7.40%,122.82 ,121.2,38,2.30%,58,华锋转债!
88,海亮转债,128081,2019/12/16,海亮股份,2203,有色金属,铜金属,106.05,-0.84%,0.72%,8.92,-0.22%,33,1.00%,115.2,9.83,1.97,90.74,16.90%,转股中,5.46年,3.46年,18.10%,16.40%,32,174,1.56%,1.05%,-0.62%,-0.82%,87.94,90.08,19.16,109.24,-2.90%,27%,15%,17%,0.53,AA,4.70%,122.95 ,121.4,31.3,-0.60%,54,海亮转债
175,华源转债!,128049,2018/12/20,华源控股,2787,造纸包装,包装材料,107.276,-1.03%,0.56%,6.87,-0.87%,1.2,0.30%,115.2,7.42,1.48,92.59,15.90%,转股中,4.48年,2.48年,18.70%,17.30%,4,21,1.64%,1.02%,-1.35%,-1.60%,90.39,91.77,19.81,111.58,-3.90%,64%,14%,18%,0.53,AA-,5.33%,123.18 ,122,30.2,-0.40%,60,华源转债!
16,东时转债,113575,2020/4/30,东方时尚,603377,其他,其他,118.7,0.17%,-0.03%,16.73,0.18%,7.9,1.60%,113.5,14.76,5.72,113.35,4.70%,4月11天,5.84年,3.84年,4.40%,4.90%,4.3,98,-0.78%,-1.19%,-3.31%,-3.49%,86.52,87.25,37.39,124.63,-4.80%,42%,9%,16%,0.78,AA,4.70%,123.40 ,124.1,36.8,6.20%,16,东时转债
77,鸿达转债,128085,2020/1/8,鸿达兴业,2002,石油天然,化工,110.101,-0.89%,1.86%,3.84,1.86%,25,0.90%,124.8,3.98,1.45,96.48,14.10%,16天,5.53年,3.53年,24.40%,23.60%,24,99,2.34%,1.57%,-1.47%,-1.69%,88.18,97.33,19.33,116.66,-5.60%,47%,12%,16%,0.52,AA,4.70%,124.20 ,123.7,26.4,3.60%,79,鸿达转债
24,久吾转债,123047,2020/4/17,久吾高科,300631,机械装备,专用设备,119.108,0.96%,3.31%,20.12,5.62%,107,35.40%,130.1,17.76,3.06,113.29,5.10%,3月22天,5.79年,3.79年,12.00%,13.50%,2.5,21,1.58%,0.72%,-2.92%,-3.20%,80.3,87.04,45,132.04,-9.80%,59%,9%,18%,0.76,A+,7.40%,124.21 ,124.9,37.9,8.90%,18,久吾转债
78,仙鹤转债,113554,2020/1/10,仙鹤股份,603733,造纸包装,造纸行业,122.34,-0.94%,1.23%,15.89,0.38%,9.1,0.60%,118.3,13.27,2.62,119.74,2.20%,16天,5.53年,3.53年,12.90%,15.40%,13,97,-0.62%,-1.19%,-4.43%,-4.60%,87.59,92.2,38.72,130.91,-6.50%,47%,<2%,16%,0.78,AA,4.70%,124.54 ,124.9,32.7,3.50%,16,仙鹤转债
45,宏辉转债,113565,2020/3/16,宏辉果蔬,603336,农业,农产品加,129.74,-2.30%,-2.14%,13.64,-5.01%,182,41.70%,118.2,10,3.45,136.4,-4.90%,2月29天,5.73年,3.73年,7.40%,10.20%,3.3,45,-1.65%,-2.18%,-5.55%,-5.73%,84.12,86.64,58.96,145.6,-10.90%,62%,<2%,16%,0.89,AA-,5.70%,124.84 ,123.1,36.4,-16.20%,12,宏辉转债
200,湖广转债!,127007,2018/8/1,湖北广电,665,传媒娱乐,影视娱乐,114.9,0.91%,1.80%,5.86,4.46%,101,7.20%,113.1,5.61,0.88,104.46,10.00%,转股中,4年22天,2年22天,21.10%,22.10%,12,58,-0.40%,-0.98%,-4.60%,-4.89%,95.39,97.46,21.51,118.97,-3.40%,45%,15%,17%,0.61,AA+,3.83%,124.90 ,125.3,27.9,9.30%,17,湖广转债!
37,新春转债,113568,2020/4/2,五洲新春,603667,机械装备,通用设备,107,-0.67%,0.48%,8.24,-0.36%,6,1.70%,124.8,9.08,1.38,90.75,17.90%,3月10天,5.75年,3.75年,13.70%,12.40%,3.3,24,2.77%,2.03%,-0.56%,-0.79%,84.51,91.41,21.13,112.53,-4.90%,45%,12%,17%,0.51,AA-,5.70%,124.90 ,123.3,31.8,4.40%,37,新春转债
12,应急转债,123048,2020/5/11,中船应急,300527,机械装备,专用设备,110.6,-0.36%,0.99%,8.56,1.06%,7.3,0.80%,113.1,8.9,3.7,96.18,15.00%,4月12天,5.84年,3.84年,10.50%,10.10%,8.2,78,0.39%,-0.02%,-1.63%,-1.80%,87.96,89.31,22.89,112.19,-1.40%,61%,18%,17%,0.59,AA+,4.20%,125.60 ,125,35.7,-0.60%,10,应急转债
114,九洲转债,123030,2019/9/12,九洲电气,300040,能源电力,电力设备,119.676,-0.27%,0.72%,6.43,0.63%,29,7.80%,120.5,5.7,1.13,112.81,6.10%,转股中,5.21年,3.21年,14.00%,15.80%,3.1,22,0.13%,-0.54%,-4.13%,-4.34%,86.49,90.87,36.45,127.33,-6.00%,43%,11%,18%,0.72,AA-,5.70%,125.78 ,126.5,35.7,-1.60%,35,九洲转债
38,正元转债,123043,2020/3/31,正元智慧,300645,计算机及,软件开发,111.003,-0.28%,0.65%,14.93,0.54%,6.1,3.10%,121.4,15.47,3.16,96.51,15.00%,3月7天,5.75年,3.75年,9.30%,8.90%,1.8,19,1.60%,0.95%,-1.53%,-1.75%,79.35,81.32,33.02,114.34,-2.90%,68%,15%,17%,0.7,A+,7.40%,126.00 ,125.5,44.2,3.80%,15,正元转债
