序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
143,亚药转债!,128062,2019/4/24,亚太药业,002370,医药,化学制药,80.379,-0.20%,0.20%,4.8,-1.64%,4.5,0.60%,119.8,16.25,6.38,29.54,172%,转股中,4.78年,2.78年,37.40%,11.10%,9.6,26,8.88%,8.07%,8.97%,8.72%,80.06,79.56,0.93,80.48,-0.10%,66%,31%,16%,0,A-,9.12%,252.38 ,131.2,51.2,0.50%,92,亚药转债!
166,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,91.18,-0.62%,0.46%,6.51,-1.21%,11,1.60%,120.2,10.52,0.66,61.88,47.30%,转股中,4.59年,2.59年,45.40%,28.10%,7.5,16,6.34%,5.51%,4.76%,4.49%,89.64,94.79,3.79,98.58,-7.50%,44%,<2%,18%,0.13,AA,5.42%,138.48 ,120.5,25.7,0.80%,100,维格转债!
228,亚太转债!,128023,2017/12/26,亚太股份,002284,汽车,零部件制,97.462,-0.32%,0.32%,4.93,0.82%,1.5,0.20%,112.3,10.34,1.5,47.68,104%,转股中,3.45年,1.45年,27.50%,13.10%,10,36,4.28%,3.59%,3.38%,3.02%,95.9,97.03,0.18,97.21,0.30%,41%,29%,17%,0.01,AA,4.42%,201.46 ,147.2,50.2,1.40%,66,亚太转债!
31,搜特转债!,128100,2020/4/9,搜于特,002503,服装纺织,服装行业,94,-0.24%,0.08%,2.9,-1.69%,18,2.40%,117.3,5.36,1.67,54.1,73.70%,2月28天,5.72年,3.72年,8.90%,4.80%,8,90,4.02%,3.46%,2.61%,2.41%,87.04,90.74,2.44,93.18,0.90%,49%,22%,17%,0.09,AA,4.68%,167.70 ,133.9,43.2,2.40%,37,搜特转债!
58,百川转债!,128093,2020/1/21,百川股份,002455,石油天然,化工,106.042,0.04%,-0.19%,4.83,-0.41%,3.1,0.60%,130.3,5.87,1.9,82.28,28.90%,17天,5.54年,3.54年,20.80%,17.10%,5.2,25,3.92%,2.98%,0.35%,-0.03%,87.84,96.96,14.36,111.32,-4.70%,40%,11%,17%,0.37,AA-,5.68%,134.94 ,129.8,32.8,-1.40%,47,百川转债!
163,今飞转债!,128056,2019/3/22,今飞凯达,002863,汽车,零部件制,102.039,0.01%,0.19%,4.92,0.61%,12,3.30%,121,6.76,1.83,72.78,40.20%,转股中,4.69年,2.69年,19.90%,14.50%,3.7,19,3.79%,2.98%,0.73%,0.45%,85.8,88.32,10.99,99.31,2.70%,59%,24%,17%,0.31,A+,7.12%,142.24 ,131.3,43,0.70%,56,今飞转债!
236,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,98.06,0.13%,-0.08%,8.73,2.71%,7.8,0.90%,110.3,15.74,1.7,55.46,76.80%,转股中,3.38年,1.38年,8.00%,4.40%,8.8,111,3.63%,3.02%,3.14%,2.76%,96.22,95.62,1.11,96.73,1.40%,36%,28%,16%,0.02,AA,4.42%,174.86 ,140.7,44.4,-1.20%,47,小康转债!
245,洪涛转债!,128013,2016/8/23,洪涛股份,002325,建筑,装饰工程,103.5,-0.19%,0.19%,3.14,0.64%,25,2.00%,111.3,8,1.3,39.25,164%,转股中,2年37天,37天,30.60%,12.00%,12,39,3.59%,2.56%,-6.02%,-7.25%,100.69,102.27,0,102.27,1.20%,34%,36%,16%,0,AA,4.20%,267.50 ,167.8,65.5,1.50%,92,洪涛转债!
15,起步转债!,113576,2020/5/7,起步股份,603557,服装纺织,鞋服行业,99.71,-0.26%,0.22%,7.77,-0.13%,4.9,0.90%,121.8,10.55,2.16,73.65,35.40%,3月26天,5.80年,3.80年,14.10%,10.40%,5.2,37,3.59%,2.92%,1.26%,1.02%,84.33,89.06,11.76,100.82,-1.10%,50%,17%,17%,0.34,AA-,5.68%,135.11 ,125.8,36.7,-4.00%,20,起步转债!
146,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,103.28,-0.12%,0.29%,11.55,1.14%,3.4,0.50%,121.6,16.64,2.4,69.41,48.80%,转股中,4.76年,2.76年,13.60%,9.40%,6.3,46,3.56%,2.75%,0.08%,-0.16%,91.31,99.36,3.96,103.32,0.00%,47%,19%,16%,0.16,AA,4.42%,152.08 ,137.1,37.8,0.00%,36,大丰转债!
196,德尔转债!,123011,2018/8/14,德尔股份,300473,汽车,零部件制,102.131,-0.31%,0.21%,24.99,-0.48%,4.9,1.90%,117.1,34.66,1.25,72.1,41.70%,转股中,4年26天,2年26天,8.80%,6.40%,2.5,28,3.50%,2.72%,0.65%,0.33%,92.21,94.94,6.01,100.95,1.20%,36%,21%,17%,0.22,AA-,5.42%,143.83 ,132.2,37.2,-0.50%,38,德尔转债!
207,岩土转债!,128037,2018/4/25,中化岩土,002542,建筑,建筑工程,99.122,-0.07%,0.07%,3.51,0.29%,2,0.30%,112.3,8.01,1.59,43.82,126%,转股中,3.73年,1.73年,9.50%,4.10%,6,63,3.47%,2.83%,1.95%,1.66%,94.76,95.86,0.08,95.94,3.30%,38%,38%,16%,0.01,AA,4.42%,225.12 ,154.4,58.6,0.90%,50,岩土转债!
221,双环转债!,128032,2018/1/25,双环传动,002472,机械装备,通用设备,98.69,0.03%,-0.02%,4.96,0.20%,1.9,0.20%,110.3,9.89,1.03,50.15,96.80%,转股中,3.51年,1.51年,29.40%,14.70%,10,34,3.29%,2.71%,2.48%,2.14%,95.67,95.07,0.98,96.05,2.70%,35%,35%,16%,0.01,AA,4.42%,195.49 ,147.2,51.6,-0.40%,52,双环转债!
149,迪森转债!,123023,2019/4/16,迪森股份,300335,能源电力,电力供应,98.94,-0.19%,0.12%,4.57,-0.44%,6.4,1.10%,114.9,7.04,1.23,64.91,52.40%,转股中,4.74年,3.74年,36.20%,23.50%,6,17,3.27%,2.67%,1.61%,1.35%,89.08,93.96,4.52,98.47,0.50%,38%,21%,18%,0.17,AA,4.42%,151.34 ,133,39,-1.20%,51,迪森转债!
198,海澜转债!,110045,2018/7/31,海澜之家,600398,服装纺织,服装行业,98.22,-0.13%,0.14%,5.95,0.68%,10,0.30%,111.6,12.02,1.99,49.5,98.40%,转股中,4年21天,2年21天,11.20%,5.60%,29,263,3.25%,2.70%,1.96%,1.73%,94.19,95.73,0.29,96.02,2.30%,31%,31%,16%,0.02,AA+,3.92%,196.62 ,146.9,51.2,-2.20%,60,海澜转债!
