序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
154,亚药转债!,128062,2019/4/24,亚太药业,002370,医药,化学制药,79.104,-1.24%,1.24%,5.27,-3.48%,15,1.90%,119.8,16.25,7.01,32.43,144%,转股中,4.72年,2.72年,34.10%,11.10%,9.6,28,9.37%,8.54%,9.76%,9.50%,79.98,79.19,1.63,80.82,-2.10%,66%,<2%,16%,0,A-,9.34%,223.10 ,125.8,45.8,9.00%,91,亚药转债!
177,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,89.53,-1.28%,0.92%,6.86,-2.14%,24,3.60%,120.2,10.52,0.69,65.21,37.30%,转股中,4.54年,2.54年,43.10%,28.10%,7.5,17,6.85%,6.01%,5.58%,5.30%,89.4,94.19,4.88,99.07,-9.60%,44%,<2%,18%,0.17,AA,5.64%,126.83 ,113.9,19.7,5.00%,100,维格转债!
239,亚太转债!,128023,2017/12/26,亚太股份,002284,汽车,零部件制,97.388,-0.82%,0.96%,5.9,2.79%,12,1.20%,112.3,10.34,1.79,57.06,70.70%,转股中,3.40年,1.40年,23.00%,13.10%,10,44,4.38%,3.67%,3.55%,3.18%,95.82,96.58,0.82,97.4,0.00%,41%,26%,17%,0.05,AA,4.64%,168.09 ,137.7,41.1,16.80%,65,亚太转债!
174,今飞转债!,128056,2019/3/22,今飞凯达,002863,汽车,零部件制,102.161,-1.03%,0.37%,5.23,-1.69%,13,3.30%,121,6.76,1.94,77.37,32.00%,转股中,4.63年,2.63年,18.70%,14.50%,3.7,20,3.81%,2.99%,0.70%,0.41%,85.63,87.83,13.72,101.55,0.60%,59%,20%,17%,0.39,A+,7.34%,134.16 ,127,39.1,5.80%,55,今飞转债!
218,岩土转债!,128037,2018/4/25,中化岩土,002542,建筑,建筑工程,98.6,-0.85%,0.84%,3.7,-1.33%,5.4,0.90%,112.3,7.99,1.67,46.31,113%,转股中,3.68年,1.68年,9.00%,4.20%,6,67,3.67%,3.03%,2.31%,2.00%,94.62,95.36,0.14,95.5,3.30%,37%,37%,16%,0.01,AA,4.64%,211.60 ,150.9,55.5,5.50%,49,岩土转债!
71,百川转债!,128093,2020/1/21,百川股份,002455,化工,化工,108.196,-0.37%,-0.54%,5.06,-2.13%,5.9,1.10%,130.3,5.87,1.99,86.2,25.50%,转股中,5.48年,3.48年,19.90%,17.10%,5.2,26,3.57%,2.63%,-0.21%,-0.59%,87.69,96.57,16.69,113.25,-4.50%,40%,11%,17%,0.43,AA-,5.82%,133.70 ,130.2,33.6,4.10%,47,百川转债!
157,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,103.53,-1.61%,1.02%,12.79,-2.37%,8,1.20%,121.6,16.64,2.66,76.86,34.70%,转股中,4.71年,2.71年,12.30%,9.40%,6.3,51,3.55%,2.73%,0.00%,-0.24%,90.97,98.63,6.68,105.31,-1.70%,47%,16%,16%,0.25,AA,4.64%,138.23 ,130.2,31.6,9.90%,35,大丰转债!
44,搜特转债!,128100,2020/4/9,搜于特,002503,服装纺织,服装行业,96.9,-0.61%,0.04%,3.34,-3.19%,73,9.30%,117.3,5.36,1.92,62.31,55.50%,2月8天,5.67年,3.67年,7.70%,4.80%,8,103,3.50%,2.93%,1.83%,1.63%,86.81,90.29,4.82,95.11,1.90%,49%,22%,17%,0.18,AA,4.82%,152.40 ,131.5,41.2,13.90%,38,搜特转债!
247,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,98.72,-0.88%,0.80%,9.13,-2.98%,3.9,0.50%,110.3,15.74,1.78,58.01,70.20%,转股中,3.32年,1.32年,7.70%,4.40%,8.8,115,3.47%,2.86%,2.78%,2.40%,96.15,95.19,1.63,96.82,2.00%,36%,30%,16%,0.03,AA,4.64%,168.92 ,139.4,43.3,5.40%,46,小康转债!
232,双环转债!,128032,2018/1/25,双环传动,002472,机械装备,通用设备,98.714,-0.70%,0.65%,5.36,-3.42%,6.9,0.70%,110.3,9.89,1.12,54.2,82.10%,转股中,3.46年,1.46年,27.20%,14.70%,10,37,3.33%,2.75%,2.55%,2.20%,95.57,94.61,1.37,95.99,2.80%,35%,33%,16%,0.02,AA,4.64%,180.81 ,143.2,47.7,5.10%,51,双环转债!
160,迪森转债!,123023,2019/4/16,迪森股份,300335,能源电力,电力供应,99.54,-0.63%,0.08%,4.93,-2.38%,2.5,0.40%,114.9,7.04,1.32,70.03,42.10%,转股中,4.69年,3.69年,33.50%,23.50%,6,18,3.17%,2.57%,1.47%,1.20%,88.58,93.27,6.36,99.63,-0.10%,38%,19%,18%,0.23,AA,4.64%,141.64 ,129.1,35.8,5.30%,50,迪森转债!
141,大业转债!,113535,2019/6/3,大业股份,603278,汽车,零部件制,100.7,-0.73%,0.21%,8.43,-3.21%,3.7,0.70%,113.1,12.4,1.53,67.98,48.10%,转股中,3.83年,1.83年,20.50%,13.90%,5,24,3.12%,2.48%,0.57%,0.39%,93.08,95.28,3.75,99.03,1.70%,47%,24%,18%,0.16,AA,4.64%,148.80 ,133.4,38.1,6.50%,51,大业转债!
209,海澜转债!,110045,2018/7/31,海澜之家,600398,服装纺织,服装行业,99.08,0.00%,-0.06%,6.16,-2.07%,11,0.40%,111.6,11.75,2.06,52.43,89.00%,转股中,4年1.5天,2年1.5天,10.80%,5.70%,29,272,3.07%,2.51%,1.60%,1.36%,93.96,95.14,0.46,95.6,3.60%,31%,31%,16%,0.03,AA+,4.14%,188.08 ,145.7,50.6,1.50%,59,海澜转债!
