序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
164,亚药转债!,128062,2019/4/24,亚太药业,002370,医药,化学制药,78.021,-0.52%,0.52%,4.78,-3.82%,8.2,1.10%,119.8,16.25,6.36,29.42,165%,转股中,4.69年,2.69年,37.60%,11.10%,9.6,26,9.77%,8.94%,10.40%,10.20%,80.66,80.12,1.27,81.39,-4.10%,66%,<2%,16%,0,A-,9.14%,243.02 ,126.6,46,-4.70%,91,亚药转债!
186,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,90.84,-0.50%,-0.01%,6.66,-3.62%,8.4,1.20%,120.2,10.52,0.67,63.31,43.50%,转股中,4.50年,2.50年,44.40%,28.10%,7.5,17,6.56%,5.71%,5.08%,4.80%,90.03,95.17,4.06,99.23,-8.50%,44%,<2%,18%,0.14,AA,5.44%,134.34 ,118.4,23.2,-1.20%,100,维格转债!
248,亚太转债!,128023,2017/12/26,亚太股份,002284,汽车,零部件制,96.9,-0.15%,0.08%,5.17,-4.79%,3.6,0.40%,112.3,10.34,1.57,50,93.80%,转股中,3.36年,1.36年,26.20%,13.10%,10,38,4.59%,3.87%,3.98%,3.60%,96.25,97.35,0.25,97.6,-0.70%,41%,<2%,17%,0.02,AA,4.44%,190.70 ,143.8,46.5,-4.60%,64,亚太转债!
227,岩土转债!,128037,2018/4/25,中化岩土,002542,建筑,建筑工程,97.856,-0.11%,0.11%,3.45,-1.99%,3.6,0.60%,112.3,7.99,1.56,43.18,127%,转股中,3.64年,1.64年,9.60%,4.20%,6,62,3.93%,3.28%,2.79%,2.47%,95.1,96.17,0.06,96.23,1.70%,37%,34%,16%,0,AA,4.44%,224.86 ,152.5,56.4,-3.50%,48,岩土转债!
241,双环转债!,128032,2018/1/25,双环传动,002472,机械装备,通用设备,97.41,-0.20%,0.16%,5.17,-3.18%,7.2,0.70%,110.3,9.89,1.08,52.28,86.30%,转股中,3.42年,1.42年,28.20%,14.70%,10,35,3.78%,3.19%,3.49%,3.12%,96.01,95.38,1.08,96.46,1.00%,35%,27%,16%,0.01,AA,4.44%,183.71 ,142.5,46.5,-2.30%,50,双环转债!
83,百川转债!,128093,2020/1/21,百川股份,002455,化工,化工,107.41,-0.65%,-0.64%,4.9,-3.35%,6.3,1.10%,130.3,5.87,1.93,83.48,28.70%,转股中,5.44年,3.44年,20.50%,17.10%,5.2,25,3.74%,2.79%,-0.01%,-0.40%,88.28,97.45,14.68,112.13,-4.20%,40%,11%,17%,0.38,AA-,5.68%,136.11 ,131.3,33.9,-1.70%,47,百川转债!
256,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,98.1,0.42%,-0.48%,8.99,-2.71%,10,1.20%,110.3,15.7,1.76,57.26,71.30%,转股中,3.29年,1.29年,7.80%,4.50%,8.8,113,3.72%,3.10%,3.31%,2.91%,96.58,95.94,1.21,97.15,1.00%,36%,23%,16%,0.02,AA,4.44%,169.40 ,138.9,42.4,1.20%,45,小康转债!
167,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,103.33,-0.46%,-0.02%,11.7,-2.99%,1.2,0.20%,121.6,16.64,2.44,70.31,47.00%,转股中,4.67年,2.67年,13.40%,9.40%,6.3,47,3.62%,2.79%,0.06%,-0.18%,91.62,99.66,4.07,103.73,-0.40%,47%,16%,16%,0.16,AA,4.44%,150.33 ,136.3,36.7,-3.20%,35,大丰转债!
56,搜特转债!,128100,2020/4/9,搜于特,002503,服装纺织,服装行业,96.521,-0.44%,0.13%,2.76,-4.17%,16,2.10%,117.3,5.36,1.59,51.49,87.40%,55天,5.63年,3.63年,9.40%,4.80%,8,85,3.59%,3.02%,1.95%,1.75%,87.4,91.12,1.8,92.92,3.90%,49%,28%,17%,0.07,AA,4.68%,183.92 ,141.5,50.4,-8.60%,37,搜特转债!
162,未来转债,128063,2019/4/24,德尔未来,002631,其他,家居用品,109.2,-1.13%,-0.43%,7.46,-4.24%,1.5,0.20%,128.2,8.61,2.9,86.64,26.00%,转股中,4.69年,3.69年,12.60%,10.90%,6.3,50,3.58%,2.55%,-0.08%,-0.51%,89.14,100.68,12.41,113.09,-3.40%,49%,11%,16%,0.37,AA-,5.44%,135.20 ,131.8,31.1,-6.00%,38,未来转债
