序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
151,亚药转债!,128062,2019/4/24,亚太药业,002370,医药,化学制药,78.262,0.13%,-0.13%,4.85,1.89%,12,1.60%,119.8,16.25,6.45,29.85,162%,转股中,4.74年,2.74年,37.00%,11.10%,9.6,26,9.58%,8.76%,10.10%,9.84%,80.34,79.84,1.36,81.2,-3.60%,66%,<2%,16%,0,A-,9.11%,240.26 ,126.7,46.3,1.80%,91,亚药转债!
174,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,89.68,0.92%,-0.72%,6.51,1.56%,13,2.00%,120.2,10.52,0.66,61.88,44.90%,转股中,4.56年,2.56年,45.40%,28.10%,7.5,16,6.79%,5.95%,5.48%,5.20%,89.84,95.01,3.71,98.72,-9.20%,44%,<2%,18%,0.13,AA,5.41%,134.58 ,117.5,22.5,0.30%,100,维格转债!
236,亚太转债!,128023,2017/12/26,亚太股份,002284,汽车,零部件制,96.86,1.30%,-1.27%,5.1,1.80%,12,1.30%,112.3,10.34,1.55,49.32,96.40%,转股中,3.42年,1.42年,26.60%,13.10%,10,38,4.52%,3.82%,3.87%,3.50%,96.07,97.21,0.24,97.45,-0.60%,41%,<2%,17%,0.01,AA,4.41%,193.26 ,144.4,47.2,3.80%,65,亚太转债!
171,今飞转债!,128056,2019/3/22,今飞凯达,002863,汽车,零部件制,100.728,1.70%,-1.25%,4.95,1.43%,19,5.20%,121,6.76,1.84,73.22,37.60%,转股中,4.65年,2.65年,19.70%,14.50%,3.7,19,4.12%,3.30%,1.21%,0.92%,86.04,88.58,11.07,99.65,1.10%,59%,18%,17%,0.32,A+,7.11%,138.33 ,128.2,39.7,1.30%,55,今飞转债!
39,搜特转债!,128100,2020/4/9,搜于特,002503,服装纺织,服装行业,93.79,0.74%,-0.65%,2.86,1.06%,31,4.10%,117.3,5.36,1.65,53.36,75.80%,2月15天,5.69年,3.69年,9.00%,4.80%,8,88,4.09%,3.52%,2.69%,2.49%,87.25,90.99,2.23,93.22,0.60%,49%,19%,17%,0.09,AA,4.66%,169.59 ,134.2,43.2,-0.50%,38,搜特转债!
66,百川转债!,128093,2020/1/21,百川股份,002455,化工,化工,105.75,1.10%,-0.87%,4.83,0.63%,4.5,0.80%,130.3,5.87,1.9,82.28,28.50%,4.1天,5.50年,3.50年,20.80%,17.10%,5.2,25,4.00%,3.06%,0.43%,0.04%,88.08,97.25,14.18,111.43,-5.10%,40%,9%,17%,0.37,AA-,5.66%,134.25 ,129.2,32,0.00%,47,百川转债!
215,岩土转债!,128037,2018/4/25,中化岩土,002542,建筑,建筑工程,98.2,0.81%,-0.80%,3.54,1.43%,6.4,1.10%,112.3,8.01,1.6,44.19,122%,转股中,3.69年,1.69年,9.40%,4.10%,6,64,3.77%,3.13%,2.51%,2.20%,94.93,96.04,0.09,96.13,2.20%,38%,33%,16%,0.01,AA,4.41%,220.20 ,152.2,56.2,1.90%,49,岩土转债!
204,德尔转债!,123011,2018/8/14,德尔股份,300473,汽车,零部件制,101.397,1.41%,-1.31%,24.89,0.48%,5.9,2.30%,117.1,34.66,1.24,71.81,41.20%,转股中,4年13天,2年13天,8.90%,6.40%,2.5,28,3.72%,2.93%,0.99%,0.67%,92.4,95.16,5.78,100.94,0.50%,36%,17%,17%,0.21,AA-,5.41%,142.60 ,131,35.8,-1.30%,37,德尔转债!
229,双环转债!,128032,2018/1/25,双环传动,002472,机械装备,通用设备,97.579,0.61%,-0.58%,5.16,2.18%,37,3.80%,110.3,9.89,1.07,52.17,87.00%,转股中,3.47年,1.47年,28.20%,14.70%,10,35,3.67%,3.08%,3.26%,2.90%,95.83,95.25,0.97,96.22,1.40%,35%,28%,16%,0.01,AA,4.41%,184.58 ,143,47.2,3.20%,51,双环转债!
244,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,98.5,0.82%,-0.78%,8.55,2.40%,6,0.70%,110.3,15.74,1.67,54.32,81.30%,转股中,3.34年,1.34年,8.10%,4.40%,8.8,108,3.52%,2.92%,2.90%,2.52%,96.39,95.8,0.98,96.78,1.80%,36%,28%,16%,0.01,AA,4.41%,179.80 ,142.7,46.3,-4.70%,47,小康转债!
154,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,103.57,1.24%,-1.00%,11.57,1.58%,3.7,0.60%,121.6,16.64,2.41,69.53,49.00%,转股中,4.73年,2.73年,13.60%,9.40%,6.3,46,3.52%,2.71%,-0.02%,-0.26%,91.47,99.56,3.93,103.48,0.10%,47%,16%,16%,0.16,AA,4.41%,152.57 ,137.6,38.1,0.10%,35,大丰转债!
23,起步转债!,113576,2020/5/7,起步股份,603557,服装纺织,鞋服行业,100.72,0.60%,0.66%,8.94,2.64%,22,4.10%,121.8,10.55,2.48,84.74,18.90%,3月13天,5.76年,3.76年,12.30%,10.40%,5.2,42,3.43%,2.75%,1.01%,0.77%,84.56,89.34,18.27,107.6,-6.40%,50%,10%,17%,0.48,AA-,5.66%,119.62 ,116.7,27.4,9.60%,22,起步转债!
206,海澜转债!,110045,2018/7/31,海澜之家,600398,服装纺织,服装行业,97.94,0.10%,0.08%,6.37,6.17%,42,1.50%,111.6,12.02,2.13,53,84.80%,转股中,4年8天,2年8天,10.50%,5.60%,29,282,3.36%,2.80%,2.13%,1.89%,94.34,95.9,0.49,96.39,1.60%,31%,29%,16%,0.03,AA+,3.91%,182.74 ,142.9,47,5.90%,60,海澜转债!
116,万里转债!,123032,2019/10/31,万里马,300591,服装纺织,服装纺织,112.369,0.60%,-0.51%,6.61,0.15%,21,10.40%,132.8,6.92,4.22,95.52,17.60%,转股中,5.27年,3.27年,8.70%,8.30%,1.8,21,3.35%,2.31%,-1.21%,-1.63%,85.04,92.72,27.72,120.44,-6.70%,45%,9%,18%,0.57,A+,7.36%,129.97 ,129.2,36.5,1.30%,44,万里转债!
157,迪森转债!,123023,2019/4/16,迪森股份,300335,能源电力,电力供应,98.798,0.94%,-0.48%,4.78,2.36%,3.3,0.60%,114.9,7.04,1.28,67.9,45.50%,转股中,4.71年,3.71年,34.60%,23.50%,6,17,3.32%,2.73%,1.67%,1.40%,89.26,94.15,5.43,99.58,-0.80%,38%,17%,18%,0.2,AA,4.41%,144.30 ,129.7,35.6,3.40%,50,迪森转债!
181,钧达转债!,128050,2018/12/27,钧达股份,002865,汽车,零部件制,107.3,0.97%,-0.64%,13.67,0.74%,8.3,2.40%,123.5,14.83,1.95,92.18,16.40%,转股中,4.43年,2.43年,19.40%,17.80%,3.2,17,3.30%,2.37%,-1.27%,-1.55%,90.7,98.29,16.64,114.93,-6.60%,57%,8%,18%,0.45,AA-,5.41%,123.70 ,122.4,24.1,-0.40%,60,钧达转债!
179,奇精转债!,113524,2019/1/7,奇精机械,603677,家电,零部件制,102.33,0.71%,-0.55%,10.56,0.67%,1.8,0.50%,117.9,14.28,2.03,73.95,38.40%,转股中,4.44年,2.44年,16.30%,12.00%,3.3,20,3.30%,2.57%,0.40%,0.15%,92.49,97.7,6.48,104.18,-1.80%,45%,15%,18%,0.23,AA,4.41%,140.73 ,130.7,33,0.20%,48,奇精转债!
138,大业转债!,113535,2019/6/3,大业股份,603278,汽车,零部件制,100.05,0.50%,-0.35%,8,1.27%,4.3,0.90%,113.1,12.4,1.45,64.52,55.10%,转股中,3.84年,1.84年,21.60%,13.90%,5,23,3.28%,2.64%,0.89%,0.71%,93.42,96,2.75,98.75,1.30%,47%,23%,18%,0.12,AA,4.41%,155.15 ,135.6,39.6,3.10%,51,大业转债!
149,未来转债,128063,2019/4/24,德尔未来,002631,其他,家居用品,110.66,1.06%,-0.56%,7.9,1.15%,2.3,0.30%,128.2,8.61,3.07,91.75,20.60%,转股中,4.75年,3.75年,11.90%,10.90%,6.3,53,3.24%,2.22%,-0.43%,-0.85%,88.98,100.52,15.51,116.03,-4.60%,49%,10%,16%,0.43,AA-,5.41%,131.26 ,129.6,29,4.90%,39,未来转债
241,嘉澳转债!,113502,2017/11/27,嘉澳环保,603822,化工,化工,101.56,0.89%,-0.92%,23.86,-1.36%,1.9,1.00%,112.3,44.79,2.35,53.27,90.60%,转股中,3.35年,1.35年,10.60%,5.60%,1.9,18,3.11%,2.41%,0.81%,0.44%,94.97,94.49,1.08,95.57,6.30%,47%,39%,17%,0.02,AA-,5.41%,192.16 ,149.8,54.9,1.70%,31,嘉澳转债!
256,顺昌转债!!,128010,2016/2/23,澳洋顺昌,002245,交通运输,物流业,104.655,0.05%,-0.05%,4.03,0.75%,9,1.70%,109.6,9.25,1.93,43.57,140%,转股中,1.55年,回售中,12.90%,5.60%,5.1,40,3.05%,1.87%,回售中,回售中,100.27,102.9,0,102.91,1.70%,42%,42%,17%,0,AA,4.19%,244.66 ,165.7,62.8,2.60%,44,顺昌转债!!
234,众兴转债!,128026,2018/1/3,众兴菌业,002772,农业,种植业,99.719,0.73%,-0.43%,8.77,1.27%,21,2.30%,110.3,11.45,1.32,76.59,30.20%,转股中,3.44年,1.44年,28.50%,21.80%,9.2,32,3.04%,2.45%,1.93%,1.58%,94.52,92.37,6.68,99.06,0.70%,37%,18%,16%,0.24,AA-,5.41%,129.92 ,122.8,28.3,2.30%,61,众兴转债!
248,久其转债!,128015,2017/7/18,久其软件,002279,计算机及,软件开发,101.658,0.94%,-0.72%,7.31,0.97%,16,2.00%,110.8,9.48,6.81,77.11,31.80%,转股中,2.93年,0.93年,15.00%,11.60%,7.8,52,3.03%,2.32%,-0.10%,-0.38%,94.43,91.41,7.14,98.55,3.10%,47%,24%,17%,0.23,A+,6.89%,133.46 ,126.2,31.8,0.10%,60,久其转债!
79,永创转债!,113559,2020/1/10,永创智能,603901,机械装备,专用设备,101.69,1.11%,-0.21%,7.52,2.73%,5.9,1.10%,118.9,10.32,2.49,72.87,39.60%,转股中,5.47年,3.47年,15.40%,11.20%,5.1,33,2.98%,2.34%,0.89%,0.62%,86.21,88.7,10.96,99.66,2.00%,43%,21%,17%,0.33,AA-,5.66%,141.29 ,130.5,41.8,3.90%,27,永创转债!
47,新春转债,113568,2020/4/2,五洲新春,603667,机械装备,通用设备,106.13,0.86%,-0.17%,8.01,1.39%,6.1,1.70%,124.8,8.91,1.34,89.9,18.10%,2月11天,5.67年,3.67年,14.10%,12.70%,3.3,23,2.97%,2.21%,-0.35%,-0.59%,85.01,92,20.16,112.16,-5.40%,45%,11%,17%,0.5,AA-,5.66%,124.23 ,122.4,30.4,-2.20%,37,新春转债
131,清水转债,123028,2019/7/15,清水源,300437,城市公用,三废处理,106,0.71%,-0.27%,10.46,0.97%,6.8,1.30%,121.8,11.84,1.51,88.34,20.00%,转股中,4.96年,2.96年,21.50%,19.00%,4.9,23,2.91%,2.13%,-0.39%,-0.68%,89.01,94.41,17.53,111.94,-5.30%,38%,11%,18%,0.45,AA-,5.41%,126.00 ,123.7,29.2,2.90%,44,清水转债
243,时达转债!,128018,2017/12/4,新时达,002527,机械装备,机器人及,100.541,1.33%,-1.16%,5.12,1.39%,15,1.70%,110.3,7.42,1.28,69,45.70%,转股中,3.34年,1.34年,27.70%,19.10%,8.8,32,2.88%,2.27%,1.50%,1.13%,96.39,95.8,2.71,98.51,2.10%,36%,21%,16%,0.12,AA,4.41%,146.24 ,132.1,35.7,1.40%,45,时达转债!
46,科达转债!,113569,2020/4/8,苏州科达,603660,通信互联,物联网,103.05,0.43%,-0.16%,9.47,1.28%,2.4,0.50%,120.7,14.84,2.76,63.81,61.50%,2月10天,5.68年,3.68年,10.90%,7.00%,5.2,47,2.88%,2.23%,0.25%,0.04%,84.39,88.87,6.53,95.39,8.00%,52%,32%,17%,0.21,AA-,5.66%,164.55 ,142.3,53.4,-0.50%,21,科达转债!
16,纵横转债,113573,2020/5/22,纵横通信,603602,通信互联,通信设备,106.22,0.20%,0.34%,16.6,0.91%,11,4.00%,124.7,18.81,3.77,88.25,20.40%,3月20天,5.78年,3.78年,8.00%,7.00%,2.7,34,2.87%,2.13%,-0.39%,-0.61%,79.29,83.47,25.27,108.74,-2.30%,76%,15%,16%,0.59,A+,7.36%,126.62 ,124.2,40.7,-3.30%,10,纵横转债
225,迪龙转债!,128033,2018/1/29,雪迪龙,002658,城市公用,三废处理,100.001,0.50%,-0.29%,6.12,1.49%,6.7,1.30%,109.8,8.83,1.85,69.31,44.30%,转股中,3.48年,1.48年,14.00%,9.70%,5.2,37,2.78%,2.23%,1.55%,1.24%,95.57,94.77,3.55,98.32,1.70%,38%,23%,17%,0.14,AA,4.41%,144.30 ,130.7,35.1,2.40%,39,迪龙转债!
