序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
147,亚药转债!,128062,2019/4/24,亚太药业,002370,医药,化学制药,79.81,-0.31%,0.31%,4.66,-0.85%,7.6,1.00%,119.8,16.25,6.2,28.68,178%,转股中,4.76年,2.76年,38.60%,11.10%,9.6,25,9.07%,8.26%,9.29%,9.03%,80.23,79.76,0.85,80.61,-1.00%,66%,<2%,16%,0,A-,9.09%,257.81 ,130.9,50.7,-2.50%,92,亚药转债!
170,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,89.78,-0.86%,0.65%,6.31,-1.87%,8.3,1.20%,120.2,10.52,0.64,59.98,49.70%,转股中,4.58年,2.58年,46.80%,28.10%,7.5,16,6.73%,5.89%,5.39%,5.11%,89.78,94.98,3.15,98.13,-8.50%,44%,<2%,18%,0.11,AA,5.39%,139.48 ,119.6,24.6,-3.00%,100,维格转债!
232,亚太转债!,128023,2017/12/26,亚太股份,002284,汽车,零部件制,96.406,-0.51%,0.51%,4.79,-0.21%,4.3,0.40%,112.3,10.34,1.45,46.32,108%,转股中,3.44年,1.44年,28.30%,13.10%,10,35,4.64%,3.94%,4.12%,3.75%,96.01,97.18,0.14,97.32,-0.90%,41%,<2%,17%,0.01,AA,4.39%,204.41 ,146.5,49.3,-2.00%,65,亚太转债!
167,今飞转债!,128056,2019/3/22,今飞凯达,002863,汽车,零部件制,100.161,-0.45%,0.51%,4.85,0.21%,14,3.80%,121,6.76,1.8,71.75,39.60%,转股中,4.67年,2.67年,20.10%,14.50%,3.7,18,4.23%,3.41%,1.41%,1.11%,85.95,88.52,10.36,98.88,1.30%,59%,22%,17%,0.3,A+,7.09%,139.76 ,128.6,40.1,-0.80%,56,今飞转债!
35,搜特转债!,128100,2020/4/9,搜于特,002503,服装纺织,服装行业,93.488,-0.24%,0.08%,2.9,-1.69%,24,3.20%,117.3,5.36,1.67,54.1,72.80%,2月23天,5.71年,3.71年,8.90%,4.80%,8,90,4.14%,3.57%,2.76%,2.56%,87.13,90.85,2.42,93.27,0.20%,49%,20%,17%,0.09,AA,4.67%,166.29 ,132.9,42,1.60%,38,搜特转债!
62,百川转债!,128093,2020/1/21,百川股份,002455,石油天然,化工,105.001,-0.57%,0.27%,4.66,-0.85%,2.9,0.50%,130.3,5.87,1.83,79.39,32.30%,12天,5.52年,3.52年,21.60%,17.10%,5.2,24,4.13%,3.18%,0.62%,0.24%,87.94,97.08,12.73,109.81,-4.40%,40%,12%,17%,0.34,AA-,5.67%,137.30 ,130.6,33.5,-4.30%,48,百川转债!
240,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,97.06,-0.27%,0.28%,8.33,0.73%,5.4,0.60%,110.3,15.74,1.63,52.92,83.40%,转股中,3.36年,1.36年,8.30%,4.40%,8.8,106,3.97%,3.36%,3.87%,3.49%,96.32,95.77,0.94,96.71,0.40%,36%,27%,16%,0.01,AA,4.39%,180.46 ,141.2,44.9,-6.80%,47,小康转债!
200,德尔转债!,123011,2018/8/14,德尔股份,300473,汽车,零部件制,101,-0.98%,1.09%,24.72,0.53%,2.6,1.00%,117.1,34.66,1.23,71.32,41.60%,转股中,4年21天,2年21天,8.90%,6.40%,2.5,28,3.80%,3.02%,1.17%,0.84%,92.34,95.12,5.64,100.76,0.20%,36%,22%,17%,0.21,AA-,5.39%,142.60 ,130.7,35.6,-2.00%,38,德尔转债!
150,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,102.61,-0.18%,0.00%,11.37,-1.30%,1.6,0.20%,121.6,16.64,2.37,68.33,50.20%,转股中,4.75年,2.75年,13.80%,9.40%,6.3,46,3.71%,2.90%,0.31%,0.07%,91.44,99.55,3.62,103.17,-0.50%,47%,17%,16%,0.14,AA,4.39%,152.81 ,136.9,37.3,-2.00%,35,大丰转债!
211,岩土转债!,128037,2018/4/25,中化岩土,002542,建筑,建筑工程,98.39,-0.30%,0.30%,3.43,-1.15%,2,0.30%,112.3,8.01,1.55,42.82,130%,转股中,3.72年,1.72年,9.70%,4.10%,6,62,3.69%,3.05%,2.37%,2.07%,94.87,96.02,0.06,96.08,2.40%,38%,38%,16%,0,AA,4.39%,228.39 ,154,57.9,-1.50%,50,岩土转债!
249,洪涛转债!,128013,2016/8/23,洪涛股份,002325,建筑,装饰工程,103.47,0.27%,-0.27%,3.04,-1.62%,26,2.10%,111.3,8,1.25,38,172%,转股中,2年32天,32天,31.60%,12.00%,12,38,3.63%,2.59%,-6.25%,-7.55%,100.74,102.25,0,102.25,1.20%,34%,34%,16%,0,AA,4.24%,275.47 ,168.9,66.7,-2.40%,91,洪涛转债!
19,起步转债!,113576,2020/5/7,起步股份,603557,服装纺织,鞋服行业,99.74,-0.39%,0.02%,8.25,-0.96%,11,2.10%,121.8,10.55,2.29,78.2,27.50%,3月21天,5.79年,3.79年,13.30%,10.40%,5.2,39,3.60%,2.92%,1.25%,1.02%,84.43,89.18,14.25,103.43,-3.60%,50%,13%,17%,0.39,AA-,5.67%,127.24 ,121.3,32.1,2.50%,20,起步转债!
225,双环转债!,128032,2018/1/25,双环传动,002472,机械装备,通用设备,98.1,-0.41%,0.40%,5.02,-0.20%,2.9,0.30%,110.3,9.89,1.05,50.76,93.30%,转股中,3.50年,1.50年,29.00%,14.70%,10,34,3.48%,2.90%,2.88%,2.53%,95.77,95.22,0.93,96.15,2.00%,35%,34%,16%,0.01,AA,4.39%,191.40 ,145.4,49.7,0.50%,52,双环转债!
230,众兴转债!,128026,2018/1/3,众兴菌业,002772,农业,种植业,98.258,-0.50%,0.00%,8.02,-3.72%,23,2.50%,110.3,11.45,1.2,70.04,40.30%,转股中,3.46年,1.46年,31.20%,21.90%,9.2,29,3.47%,2.88%,2.84%,2.48%,94.44,92.33,4.48,96.81,1.50%,37%,20%,16%,0.14,AA-,5.39%,138.56 ,126.5,32,-7.60%,61,众兴转债!
177,钧达转债!,128050,2018/12/27,钧达股份,002865,汽车,零部件制,106.49,-1.12%,1.16%,13.5,0.07%,13,3.80%,123.5,14.83,1.93,91.03,17.00%,转股中,4.45年,2.45年,19.60%,17.80%,3.2,16,3.46%,2.53%,-0.97%,-1.25%,90.64,98.26,16.03,114.29,-6.80%,57%,11%,18%,0.43,AA-,5.39%,123.49 ,121.9,23.7,-4.50%,61,钧达转债!
145,未来转债,128063,2019/4/24,德尔未来,002631,其他,家居用品,109.499,-0.55%,0.45%,7.6,-0.26%,5,0.70%,128.2,8.61,2.95,88.27,24.10%,转股中,4.77年,3.77年,12.40%,10.90%,6.3,51,3.46%,2.45%,-0.15%,-0.57%,88.94,100.49,13.48,113.97,-3.90%,49%,12%,16%,0.39,AA-,5.39%,133.60 ,130.7,30.2,1.30%,39,未来转债
153,迪森转债!,123023,2019/4/16,迪森股份,300335,能源电力,电力供应,98.2,-0.20%,0.24%,4.54,0.22%,1.5,0.20%,114.9,7.04,1.22,64.49,52.30%,转股中,4.73年,3.73年,36.40%,23.50%,6,16,3.44%,2.85%,1.82%,1.55%,89.24,94.14,4.32,98.46,-0.30%,38%,20%,18%,0.17,AA,4.39%,150.50 ,131.9,37.8,-2.00%,51,迪森转债!
112,万里转债!,123032,2019/10/31,万里马,300591,服装纺织,服装纺织,111.88,-0.11%,0.19%,6.36,0.16%,15,7.60%,132.8,6.92,4.06,91.91,21.70%,转股中,5.29年,3.29年,9.10%,8.30%,1.8,20,3.42%,2.38%,-1.07%,-1.49%,84.89,92.53,25.32,117.86,-5.10%,45%,12%,18%,0.53,A+,7.37%,133.58 ,131.9,39.3,-2.00%,44,万里转债!
134,大业转债!,113535,2019/6/3,大业股份,603278,汽车,零部件制,99.59,-0.24%,0.09%,7.64,-1.55%,1.6,0.30%,113.1,12.4,1.39,61.61,61.60%,转股中,3.87年,1.87年,22.60%,13.90%,5,22,3.39%,2.75%,1.11%,0.93%,93.37,95.98,2.13,98.11,1.50%,47%,25%,18%,0.1,AA,4.39%,161.19 ,137.6,41.6,-1.60%,52,大业转债!
229,铁汉转债!,123004,2018/1/26,铁汉生态,300197,城市公用,生态环境,98.1,-0.41%,0.52%,2.57,1.58%,6.4,0.80%,109.8,3.98,1.16,64.57,51.90%,转股中,3.48年,1.48年,13.80%,8.90%,8.3,60,3.36%,2.80%,2.76%,2.44%,95.61,94.84,1.91,96.75,1.40%,56%,24%,15%,0.07,AA,4.39%,150.00 ,131.6,36,0.10%,30,铁汉转债!
175,奇精转债!,113524,2019/1/7,奇精机械,603677,家电,零部件制,102,-0.54%,0.30%,10.4,-1.05%,5.2,1.50%,117.9,14.28,2,72.83,40.10%,转股中,4.47年,2.47年,16.50%,12.00%,3.3,20,3.36%,2.63%,0.52%,0.27%,92.45,97.69,6.1,103.78,-1.70%,45%,17%,18%,0.22,AA,4.39%,142.10 ,131.2,33.5,-1.80%,49,奇精转债!
202,海澜转债!,110045,2018/7/31,海澜之家,600398,服装纺织,服装行业,98.32,0.04%,-0.04%,5.91,0.00%,6.4,0.20%,111.6,12.02,1.98,49.17,100.00%,转股中,4年16天,2年16天,11.30%,5.60%,29,261,3.24%,2.69%,1.93%,1.70%,94.3,95.89,0.27,96.17,2.20%,31%,31%,16%,0.02,AA+,3.89%,198.32 ,147.5,51.6,-2.80%,61,海澜转债!
252,顺昌转债!!,128010,2016/2/23,澳洋顺昌,002245,交通运输,物流业,104.3,-0.28%,0.28%,3.88,-1.52%,2.3,0.40%,109.6,9.25,1.86,41.95,149%,转股中,1.57年,回售中,13.40%,5.60%,5.1,38,3.23%,2.06%,回售中,回售中,100.27,102.73,0,102.73,1.50%,42%,44%,17%,0,AA,4.24%,253.30 ,166.7,63.9,-1.10%,43,顺昌转债!!
83,鸿达转债,128085,2020/1/8,鸿达兴业,002002,石油天然,化工,105.3,-0.54%,0.42%,3.61,-0.28%,11,0.40%,124.8,3.98,1.36,90.7,16.10%,转股中,5.47年,3.47年,26.00%,23.60%,24,93,3.22%,2.43%,-0.26%,-0.49%,88.51,97.74,15.56,113.3,-7.10%,47%,9%,16%,0.45,AA,4.67%,121.40 ,119.9,22.2,-4.00%,78,鸿达转债
75,永创转债!,113559,2020/1/10,永创智能,603901,机械装备,专用设备,100.53,-0.47%,0.26%,7.24,-0.69%,6.3,1.20%,118.9,10.32,2.4,70.16,43.30%,2.1天,5.49年,3.49年,16.00%,11.20%,5.1,32,3.19%,2.55%,1.21%,0.94%,86.07,88.55,9.59,98.13,2.40%,43%,22%,17%,0.29,AA-,5.67%,143.83 ,130.9,42.4,0.20%,27,永创转债!
127,清水转债,123028,2019/7/15,清水源,300437,城市公用,三废处理,104.7,-0.37%,0.20%,10.11,-0.39%,2,0.40%,121.8,11.84,1.46,85.39,22.60%,转股中,4.98年,2.98年,22.20%,19.00%,4.9,22,3.16%,2.38%,0.01%,-0.28%,88.96,94.39,15.88,110.27,-5.00%,38%,12%,18%,0.43,AA-,5.39%,127.30 ,124,29.6,-0.10%,45,清水转债
246,永东转债!,128014,2017/7/18,永东股份,002753,石油天然,化工,102.248,-0.03%,-0.05%,8.41,-0.94%,0.9,0.20%,111.3,12.6,1.82,66.75,53.20%,转股中,2.81年,0.81年,10.70%,7.10%,3.4,32,3.12%,2.35%,-0.45%,-0.81%,96.88,96.66,1.82,98.48,3.80%,46%,30%,17%,0.08,AA-,5.24%,155.45 ,137.7,40.9,0.50%,42,永东转债!
42,科达转债!,113569,2020/4/8,苏州科达,603660,通信互联,物联网,101.68,-0.73%,0.43%,9.26,-1.59%,5.8,1.10%,120.7,14.88,2.69,62.23,63.40%,2月18天,5.70年,3.70年,11.20%,6.90%,5.2,46,3.12%,2.47%,0.60%,0.39%,84.26,88.71,5.94,94.65,7.40%,52%,31%,17%,0.19,AA-,5.67%,165.08 ,141.1,52.4,-3.40%,20,科达转债!
237,嘉澳转债!,113502,2017/11/27,嘉澳环保,603822,石油天然,化工,101.54,-0.98%,0.96%,22.72,-1.60%,1.3,0.70%,112.3,44.79,2.24,50.73,100%,转股中,3.37年,1.37年,11.10%,5.60%,1.9,17,3.10%,2.40%,0.81%,0.45%,94.89,94.44,0.99,95.43,6.40%,47%,47%,17%,0.01,AA-,5.39%,201.54 ,152.4,57.5,-3.30%,32,嘉澳转债!
244,久其转债!,128015,2017/7/18,久其软件,002279,计算机及,软件开发,101.5,-1.26%,0.52%,7.25,-3.72%,29,3.60%,110.8,9.48,6.75,76.48,32.70%,转股中,2.95年,0.95年,15.10%,11.60%,7.8,52,3.06%,2.36%,0.04%,-0.23%,94.24,91.15,6.87,98.02,3.50%,47%,25%,17%,0.2,A+,6.94%,134.20 ,126.5,32.3,0.70%,60,久其转债!
166,长城转债!,113528,2019/3/20,长城科技,603897,机械装备,专用设备,102.55,-0.16%,-0.37%,18.4,-1.60%,7.2,1.10%,117.6,23.75,1.77,77.47,32.40%,转股中,4.68年,2.68年,19.30%,15.00%,6.3,33,3.04%,2.35%,0.48%,0.21%,89.68,92.51,10.4,102.91,-0.40%,46%,17%,17%,0.33,AA-,5.39%,134.95 ,127.6,35.1,-0.10%,48,长城转债!
239,时达转债!,128018,2017/12/4,新时达,002527,机械装备,机器人及,100.001,0.00%,-0.08%,4.95,-0.80%,3,0.30%,110.3,7.42,1.24,66.71,49.90%,转股中,3.36年,1.36年,28.70%,19.10%,8.8,31,3.03%,2.43%,1.84%,1.47%,96.32,95.77,2.26,98.03,2.00%,36%,24%,16%,0.09,AA,4.39%,149.90 ,133.3,37,-2.10%,45,时达转债!
76,建工转债!,110064,2020/1/16,重庆建工,600939,建筑,建筑工程,102.61,-0.36%,0.19%,3.61,-0.55%,15,0.90%,120.2,4.65,0.96,77.63,32.20%,转股中,5.48年,3.48年,25.30%,19.70%,17,66,3.00%,2.33%,0.52%,0.27%,90.2,96.57,8.61,105.18,-2.40%,37%,14%,16%,0.3,AA+,4.17%,134.81 ,127.6,31,-1.60%,42,建工转债!
